"id;""user_id"";""created_at"";""tweet_text"";""hashtag_entities"";""url_entities"";""favorites_count"";""retweet_count"";""quoted_status_id"";""in_reply_to_status_id"""
"841818168603619329;15856366;""2017-03-15 01:07:46"";""Thank you for your question and for joining my tele-town meeting! https://t.co/tISaawdFU9"";""{}"";""{https://twitter.com/dyanceyd/status/841815446533869569}"";4;1;841815446533869569;"
"720006020878176257;1089859058;""2016-04-12 21:49:47"";""Women in general make 79[?] &amp; Latinas make 55[?] for every dollar earned by men. Close the #PayGap &amp; pass the #PaycheckFairnessAct #EqualPayDay"";""{PayGap",PaycheckFairnessAct,"EqualPayDay}"";""{}"";7;13;;"
"712645441477677056;17800215;""2016-03-23 14:21:28"";""Obama administration's 'continuous resistance' in IRS targeting case slammed by federal appeals court https://t.co/PM1WO6UxJl"";""{}"";""{https://t.co/PM1WO6UxJl}"";44;57;;"
"628924470439374848;221792092;""2015-08-05 13:44:13"";""RT @Clyburn: The strength of our democracy rests upon the participation of every citizen. RT if you agree: @HouseGOP should join Dems to #R..."";""{}"";""{}"";0;344;;"
"807742409580969985;162069635;""2016-12-11 00:22:52"";""RT @TeddyDavisCNN: .@SenJohnMcCain voices concern re: Rex Tillerson's potential ties to Russia as Trump meets with him re: the position of..."";""{}"";""{}"";0;517;;"
"570611629408309249;15394954;""2015-02-25 15:49:48"";""Rural communities will suffer the most harm from @TomWheelerFCC's #NetNeutrality regulations. #OH5"";""{NetNeutrality","OH5}"";""{}"";0;1;;"
"404374483856678912;19726613;""2013-11-23 22:22:44"";""Sen. Collins met with Canadian Minister of Defense at Halifax International Security Conference to discuss Gagetown http://t.co/XNDjLFBnZb"";""{}"";""{}"";1;7;;"
"821366151615631360;131018989;""2017-01-17 14:38:45"";""@joycedigi @Chrismf6 And whatever hush money Marla gets."";""{}"";""{}"";1;0;;821363741644111872"
"776885500405841921;296245061;""2016-09-16 20:48:31"";""On #ConstitutionDay"," we celebrate the foundation of our freedom. We must never stop defending it. https://t.co/t379IC4A6L"";""{ConstitutionDay}"";""{}"";8;3;;"
"563442958498676736;248850174;""2015-02-05 21:04:04"";""WSJ: likely that 'tens of millions' of records were stolen #AnthemHack http://t.co/m6t6uiDmyx"";""{AnthemHack}"";""{http://t.co/m6t6uiDmyx}"";0;6;;"
"499617194888937472;2293131060;""2014-08-13 18:03:16"";""Congress should follow the example of #MA's determination to end gun violence. #mapoli  Read: http://t.co/ZROcErb5YR"";""{MA","mapoli}"";""{http://t.co/ZROcErb5YR}"";4;7;;"
"247339012870774785;18277655;""2012-09-16 14:19:51"";""In DC on the set getting for Meet the Press http://t.co/L03mgwYJ"";""{}"";""{}"";0;2;;"
"798598702294106112;18916432;""2016-11-15 18:49:02"";""It is a tremendous honor to be nominated by my colleagues to serve as Speaker of the House. Now it's time to go big. https://t.co/ot7fqYEGun"";""{}"";""{}"";4484;1481;;"
"715557291332730881;293131808;""2016-03-31 15:12:07"";""This investigation is short on facts and long on politics. https://t.co/URaGbaVkpr #StandWithPP https://t.co/iJQrYULgNz"";""{StandWithPP}"";""{https://t.co/URaGbaVkpr}"";31;37;;"
"846762627393081344;995193054;""2017-03-28 16:35:17"";""Protecting American's #privacy has been a top priority for me. That's why I oppose S.J. Res 34. People have the rig... https://t.co/J7uXrmm49m"";""{privacy}"";""{https://twitter.com/i/web/status/846762627393081344}"";83;34;;"
"454254744459300864;1134292500;""2014-04-10 13:49:05"";""This Saturday we will co-host our Spring Service Academy Day with  @RepPeteGallego:https://t.co/qD4XVFx0Lq ..."";""{}"";""{https://t.co/qD4XVFx0Lq}"";0;0;;"
"711958601758318592;26637348;""2016-03-21 16:52:12"";""RT @ServiceNation: Everyone stay calm: Winter is not coming. But #serviceyear opportunities are! Find yours at https://t.co/DH0X3WBmuY http..."";""{serviceyear}"";""{https://t.co/DH0X3WBmuY}"";0;12;;"
"753624182114705408;250188760;""2016-07-14 16:16:21"";""Congress: Stand up to special interests who want to keep working &amp; young Americans"," people of color &amp; others from voting. Pass #VoteByMail!"";""{VoteByMail}"";""{}"";24;15;;753618817457262592"
"821744006300311552;21406834;""2017-01-18 15:40:13"";""#Pruitt has tried to undermine the Clean Water &amp; Clean Air Acts"," putting the public health of millions of Americans at risk #pollutingPruitt"";""{Pruitt","pollutingPruitt}"";""{}"";402;274;;"
"380051813749506048;233949261;""2013-09-17 19:33:08"";""Lots of questions yet in the sad chapter of #Benghazi. #tcot http://t.co/iky91Hmv93"";""{Benghazi","tcot}"";""{http://t.co/iky91Hmv93}"";0;1;;"
"711908739226472448;518644221;""2016-03-21 13:34:04"";""Here's a look at what's coming up on the House floor this week: https://t.co/7ao4K69D01"";""{}"";""{https://t.co/7ao4K69D01}"";1;0;;"
"638444677205786624;217543151;""2015-08-31 20:14:07"";""I'll be on w/ @seanhannity in 15 mins. talking about keeping terrorists at #Gitmo"," the #IranDeal and other news. http://t.co/iGCA9jsHMe"";""{Gitmo","IranDeal}"";""{}"";30;16;;"
"806670276851273728;14275291;""2016-12-08 01:22:35"";""Wow", @CidWilson, u always beat me to twitter! Te quiero," amigo! https://t.co/JF0urjIjtV"";""{}"";""{https://t.co/JF0urjIjtV}"";7;5;806666873895010308;"
"329630382431543296;486694111;""2013-05-01 16:16:22"";""It is in our national interest to keep #studentloan rates low &amp; make college more affordable. Stop the 7/1 rate-hike. http://t.co/FUsfbwWxS5"";""{studentloan}"";""{}"";0;1;;"
"815340373862191104;57065141;""2016-12-31 23:34:28"";""2. @clairecmc shaped legislation to maintain MO's #defense leadership and keep @NGA_GEOINT HQ in #STL."

